股票代码,股票名称,涨跌幅,概念名称
688327,云从科技,0.56,"AI PC,多模态AI,华为欧拉,华为昇腾,人脸识别,数据确权,虚拟数字人"
688525,佰维存储,0.50,"AI PC,AI手机,国家大基金持股"
2815,崇达技术,0.41,"AI PC,人形机器人"
603890,春秋电子,0.41,"AI PC,F5G概念,富士康概念,小米汽车"
300476,胜宏科技,0.00,"AI PC,AI手机,人形机器人,英伟达概念"
2913,奥士康,-0.08,"AI PC,英伟达概念,6G概念"
1283,豪鹏科技,-0.30,"AI PC,动力电池回收,两轮车,新型烟草(电子烟)"
872190,雷神科技,-0.91,"AI PC,电子竞技,WiFi 6"
2156,通富微电,-0.95,"AI PC,国家大基金持股,华为海思概念股"
2938,鹏鼎控股,-1.16,"AI PC,AI手机"
300602,飞荣达,-1.39,"AI PC,华为海思概念股"
603327,福蓉科技,5.46,"AI手机,高股息精选,苹果概念,消费电子概念,小米概念,5G"
300968,格林精密,3.99,"AI手机,富士康概念,柔性屏(折叠屏),小米概念,新型烟草(电子烟),虚拟现实,粤港澳大湾区,智能穿戴,智能家居,智能音箱"
63,中兴通讯,2.92,"AI手机,百度概念,东数西算(算力),多模态AI,国产操作系统,量子科技,数字经济,太赫兹,同花顺漂亮100,网络安全,液冷服务器,元宇宙,智能穿戴,证金持股,6G概念"
300115,长盈精密,2.59,"AI手机,宁德时代概念,充电桩,华为汽车,苹果概念,氢能源,燃料电池,人形机器人,柔性屏(折叠屏),特斯拉概念,无线耳机,新型烟草(电子烟),智能穿戴,3D打印"
300598,诚迈科技,2.46,"AI手机,百度概念,长安汽车概念,独角兽概念,国产操作系统,鸿蒙概念,华为海思概念股,华为欧拉,华为汽车,机器视觉,星闪概念,英伟达概念,智能穿戴,智能家居,智能座舱"
688484,南芯科技,1.75,"AI手机,汽车芯片,无线充电,智能座舱"
2632,道明光学,0.47,"AI手机,石墨烯,中俄贸易概念"
2273,水晶光电,0.32,"AI手机,分拆上市意愿"
688601,力芯微,0.20,"AI手机,民爆概念"
829,天音控股,0.07,"AI手机,抖音概念,独角兽概念,拼多多概念,深圳国企改革,数据确权,网络直播,网络直播,新型烟草(电子烟)"
688173,希荻微,--,AI手机
300088,长信科技,-0.14,"AI手机,电子纸,石墨烯"
688036,传音控股,-0.58,"AI手机,同花顺出海50,同花顺漂亮100,语音技术"
603160,汇顶科技,-1.47,"AI手机,MCU芯片"
688228,开普云,6.80,"AI语料,多模态AI,华为鲲鹏,华为昇腾,人工智能,数据安全,数据要素,Sora概念(文生视频),文化传媒概念,信创,虚拟电厂,虚拟数字人,元宇宙,语音技术,智慧政务,知识产权保护"
300341,麦克奥迪,6.05,"AI语料,电力物联网,福建自贸区,股权转让(并购重组),互联网医疗,人工智能,数据要素,特高压,医疗器械概念,智能电网,智能医疗,证金持股"
601858,中国科传,4.13,"AI语料,电子商务,国资云,数据要素,数字经济,同花顺中特估100,文化传媒概念,在线教育,知识产权保护,中字头股票"
601360,三六零,4.13,"AI语料,安防,参股银行,车联网(车路协同),多模态AI,EDR概念,国产操作系统,鸿蒙概念,区块链,数据安全,同花顺漂亮100,网络游戏,网络游戏,网络游戏,网络游戏,文化传媒概念,信创,网络安全,虚拟数字人,云办公,智能穿戴"
600100,同方股份,3.20,"AI语料,安防,参股券商,创投,东数西算(算力),工业互联网,国产操作系统,国资云,核污染防治,华为昇腾,互联网保险,京津冀一体化,机器视觉,区块链,数字经济,算力租赁,太赫兹,土壤修复,土壤修复,网络安全,央企国企改革,液冷服务器,移动支付,在线教育,智能家居"
710,贝瑞基因,3.17,"AI语料,辅助生殖,京津冀一体化,基因测序,智能医疗"
32,深桑达A,2.39,"AI语料,安防,东数西算(算力),高铁,国产操作系统,国资云,华为鲲鹏,绿色电力,柔性屏(折叠屏),数据安全,数据确权,数字孪生,数字乡村,算力租赁,碳中和,体育产业,乡村振兴,元宇宙,粤港澳大湾区,智慧政务,中芯国际概念"
2908,德生科技,1.81,"AI语料,电子身份证,京津冀一体化,农村电商,数据确权,数字货币,移动支付,智慧政务,职业教育"
2195,岩山科技,1.48,"AI语料,阿里巴巴概念,抖音概念,短剧游戏,脑机接口,腾讯概念,网络游戏,网络游戏,网络游戏,网络游戏,元宇宙"
600839,四川长虹,1.36,"AI语料,钒电池,航空发动机,毫米波雷达,华为海思概念股,华为欧拉,家用电器,跨境电商,苹果概念,网络直播,星闪概念,血氧仪,云游戏,智能医疗"
300364,中文在线,0.70,"AI语料,抖音概念,短剧游戏,多模态AI,快手概念,NFT概念,数据确权,同花顺出海50,文化传媒概念,虚拟数字人,在线教育,知识产权保护,职业教育"
688590,新致软件,0.51,"AI语料,华为昇腾,互联网保险,数据确权,数字货币"
600728,佳都科技,0.20,"AI语料,多模态AI,华为昇腾,空间计算,无人零售,虚拟数字人,移动支付"
300166,东方国信,0.20,"AI语料,电子身份证,多模态AI,华为欧拉,时空大数据,数字货币,数字水印,数字乡村,虚拟电厂,虚拟数字人,养老概念,职业教育"
2362,汉王科技,0.19,"AI语料,电子身份证,多模态AI,电子纸,基因测序,PM2.5,虚拟数字人,语音技术"
300418,昆仑万维,0.05,"AI语料,独角兽概念,多模态AI,手机游戏,Sora概念(文生视频),网红经济,网红经济,网络游戏"
681,视觉中国,0.00,"AI语料,NFT概念,数据确权,数字水印,知识产权保护"
2649,博彦科技,-0.16,"AI语料,抖音概念,华为昇腾,数字货币,语音技术"
300248,新开普,-0.20,"AI语料,蚂蚁金服概念,数字货币,数字乡村,无人零售,虚拟数字人"
688787,海天瑞声,-0.23,"AI语料,数字水印,虚拟数字人,语音技术"
300413,芒果超媒,-0.32,"AI语料,抖音概念,短剧游戏,农村电商,手机游戏,网络游戏,虚拟数字人"
300229,拓尔思,-0.34,"AI语料,电子身份证,知识产权保护"
300130,新国都,-0.37,"AI语料,参股保险,电子身份证,数字货币"
300996,普联软件,-0.68,"AI语料,ERP概念"
603721,中广天择,-0.69,"AI语料,短剧游戏,快手概念,旅游概念,NFT概念,数据确权,Sora概念(文生视频),网红经济,知识产权保护"
603533,掌阅科技,-0.69,"AI语料,短剧游戏,电子纸,知识产权保护"
603888,新华网,-0.81,"AI语料,数据确权,Sora概念(文生视频),知识产权保护"
300654,世纪天鸿,-0.86,AI语料
300369,绿盟科技,-0.87,"AI语料,华为欧拉,数字水印"
603000,人民网,-0.89,"AI语料,国资云,蚂蚁金服概念,数据确权,体育产业,云办公,知识产权保护"
2230,科大讯飞,-1.03,"AI语料,华为昇腾,家庭医生,语音技术,智能音箱"
688500,慧辰股份,-1.35,"AI语料,烟草,摘帽"
300766,每日互动,-1.58,"AI语料,空间计算,快手概念,拼多多概念"
300977,深圳瑞捷,-1.73,"AI语料,装配式建筑"
2226,江南化工,-1.77,"AI语料,民爆概念"
